Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover(₹ Lac.),No. of Trades
526544,SCANPGEOM,X,9.00,9.25,8.70,8.98,23119,2.04,82
532869,TARMAT,B,67.45,67.90,64.80,65.84,3063,2.04,105
526355,DUROPACK,XT,107.00,108.00,102.40,106.45,1908,2.03,64
513498,SOUTHMG,XT,105.25,105.25,105.25,105.25,1928,2.03,14
500014,UTIQUE,X,4.91,5.14,4.91,4.99,40358,2.03,184
538928,KARNAVATI,XT,5.00,5.08,4.72,4.72,42799,2.02,184
543474,BSLNIFTY,B,22.20,22.20,21.69,21.79,9194,2.01,122
523449,SHARP,XT,55.30,59.44,55.30,57.35,3541,2.01,30
523289,RAMAVISION,X,37.37,39.47,37.37,38.18,5241,2.01,42
532216,HBSTOCK,B,47.00,47.60,46.60,46.96,4251,2.00,40
543346,AASHKA,M,49.99,50.00,49.99,49.99,4000,2.00,4
542034,SMGOLD,T,14.07,14.55,14.07,14.32,13997,2.00,165
533576,VASWANI,B,21.37,21.53,20.90,20.95,9446,2.00,182
540144,DRA,M,27.00,27.00,26.00,26.00,7500,2.00,3
521178,SRMCL,XT,28.06,28.06,25.55,27.85,7362,2.00,44
524703,SANDUPHQ,X,57.10,58.30,55.21,55.88,3468,1.99,46
534674,DUCON,T,6.51,6.95,6.51,6.83,29543,1.99,133
534691,COMCL,X,18.99,18.99,17.52,17.65,11156,1.99,45
509020,RUCHINFRA,T,8.79,8.90,8.61,8.80,22754,1.99,80
531399,GGAUTO,XT,56.89,56.89,54.36,55.15,3551,1.98,42
532998,LEHIL,B,84.89,84.89,79.00,80.12,2452,1.97,64
532907,IL&FSENGG,Z,11.05,11.05,10.55,10.62,18067,1.96,38
513149,ACROW,XT,861.00,875.00,861.00,873.00,225,1.96,8
513108,GANDHITUBE,B,579.70,587.00,577.40,577.55,337,1.96,61
532183,GAYATRI,XT,8.35,8.35,8.35,8.35,23300,1.95,56
543263,SMCGLOBAL,B,73.88,75.50,73.88,75.02,2603,1.95,80
590018,HISARMET,B,134.50,138.80,134.50,134.70,1431,1.95,111
523838,SIMPLEXINF,B,33.44,34.40,33.44,33.90,5715,1.94,85
530977,SKCIL,X,142.65,145.00,137.85,140.50,1361,1.94,31
526723,NTCIND,X,86.30,86.30,78.20,79.87,2389,1.93,79
524136,PCCOSMA,XT,204.90,204.90,185.80,190.40,992,1.92,47
530063,YASHRAJC,X,11.69,11.69,10.51,10.77,17615,1.92,85
531977,CHLOGIST,X,4.70,4.90,4.60,4.69,40659,1.92,123
531861,JOINDRE,X,34.46,34.46,33.03,33.59,5743,1.92,33
540843,RITHWIKFMS,M,64.00,64.00,64.00,64.00,3000,1.92,1
539945,ICICINV20,B,107.60,108.99,107.60,108.92,1772,1.92,123
535621,SVGLOBAL,XT,67.99,70.99,65.10,68.00,2806,1.91,15
511523,VEERHEALTH,XT,32.97,32.97,31.00,31.91,5935,1.91,37
